timestamp,symbol,action,shares,price,trade_value,fee,realized_pnl,trade_roi,hold_days,annualized_roi,cash_balance
MoneyInit,ACCOUNT,DEPOSIT,--,--,1000000.0,0.0,--,--,--,--,1000000.0
2024-06-06,300502,BUY,1000,66.62,66620.0,19.99,0.0,--,--,--,933360.01
2024-06-14,300502,BUY,800,77.08,61664.0,18.5,0.0,--,--,--,871677.51
2024-06-18,300502,BUY,800,81.84,65472.0,19.64,0.0,--,--,--,806185.87
2024-07-25,300502,SELL,2600,66.65,173290.0,138.63,-20604.63,-10.63%,49 天,-79.21%,979337.24
2024-11-12,601606,BUY,4700,13.89,65283.0,19.58,0.0,--,--,--,914034.66
2024-11-15,601606,SELL,4700,12.26,57622.0,46.1,-7707.1,-11.81%,3 天,-1436.36%,971610.56
2024-11-25,601606,BUY,3700,14.49,53613.0,16.08,0.0,--,--,--,917981.47
2024-11-26,601606,SELL,3700,13.04,48248.0,38.6,-5403.6,-10.08%,1 天,-3678.80%,966190.88
2024-12-05,601606,BUY,3800,13.8,52440.0,15.73,0.0,--,--,--,913735.14
2024-12-17,601606,SELL,3800,12.34,46892.0,37.51,-5585.51,-10.65%,12 天,-323.98%,960589.63
2025-06-23,300502,BUY,400,107.28,42912.0,12.87,0.0,--,--,--,917664.76
2025-06-24,300308,BUY,500,125.12,62560.0,18.77,0.0,--,--,--,855085.99
2025-06-26,300502,BUY,400,116.8,46720.0,14.02,0.0,--,--,--,808351.97
2025-06-27,300502,BUY,400,123.18,49272.0,14.78,0.0,--,--,--,759065.19
2025-06-27,300308,BUY,400,138.26,55304.0,16.59,0.0,--,--,--,703744.6
2025-06-30,300502,BUY,300,127.02,38106.0,11.43,0.0,--,--,--,665627.17
2025-06-30,300308,BUY,400,145.71,58284.0,17.49,0.0,--,--,--,607325.68
2025-07-15,300308,BUY,300,174.63,52389.0,15.72,0.0,--,--,--,554920.97
2025-09-02,300502,SELL,400,358.2,143280.0,114.62,95962.71,203.30%,71 天,1045.13%,698086.34
2025-09-04,300502,SELL,1100,312.1,343310.0,274.65,213228.02,164.27%,73 天,821.33%,1041121.69
2025-09-04,300308,SELL,400,368.76,147504.0,118.0,90251.75,157.96%,72 天,800.79%,1188507.69
2025-09-08,300308,SELL,1200,369.61,443532.0,354.83,271774.42,158.56%,76 天,761.50%,1631684.87
2025-10-23,300308,BUY,300,440.88,132264.0,39.68,0.0,--,--,--,1499381.19
2025-10-27,300502,BUY,300,403.95,121185.0,36.36,0.0,--,--,--,1378159.83
2025-10-31,300502,SELL,300,344.31,103293.0,82.63,-17974.63,-14.83%,4 天,-1353.46%,1481370.2
2025-11-26,300308,BUY,300,543.22,162966.0,48.89,0.0,--,--,--,1318355.31
2026-01-09,300308,SELL,100,583.2,58320.0,46.66,9068.34,18.43%,78 天,86.24%,1376628.65
2026-01-13,300308,BUY,300,585.76,175728.0,52.72,0.0,--,--,--,1200847.93
2026-01-27,300308,BUY,300,615.6,184680.0,55.4,0.0,--,--,--,1016112.53
2026-02-02,300308,SELL,1100,591.0,650100.0,520.08,43146.92,7.11%,102 天,25.46%,1665692.45
