position_id,timestamp,item_type,symbol,shares,avg_price,cost_basis,ratio
$+
1,2024-06-06,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
1,2024-06-06,SUMMARY,CASH_BALANCE,--,--,933360.01,93.34%
1,2024-06-06,POSITION,300502,1000,66.62,66620.0,6.66%
=$
$+
2,2024-06-14,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
2,2024-06-14,SUMMARY,CASH_BALANCE,--,--,871677.51,87.17%
2,2024-06-14,POSITION,300502,1800,71.269,128284.0,12.83%
=$
$+
3,2024-06-18,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
3,2024-06-18,SUMMARY,CASH_BALANCE,--,--,806185.87,80.62%
3,2024-06-18,POSITION,300502,2600,74.522,193756.0,19.38%
=$
$+
4,2024-07-25,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
4,2024-07-25,SUMMARY,CASH_BALANCE,--,--,979337.24,97.93%
4,2024-07-25,POSITION,EMPTY,0,0.0,0.0,0.00%
=$
$+
5,2024-11-12,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
5,2024-11-12,SUMMARY,CASH_BALANCE,--,--,914034.66,91.40%
5,2024-11-12,POSITION,601606,4700,13.89,65283.0,6.53%
=$
$+
6,2024-11-15,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
6,2024-11-15,SUMMARY,CASH_BALANCE,--,--,971610.56,97.16%
6,2024-11-15,POSITION,EMPTY,0,0.0,0.0,0.00%
=$
$+
7,2024-11-25,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
7,2024-11-25,SUMMARY,CASH_BALANCE,--,--,917981.47,91.80%
7,2024-11-25,POSITION,601606,3700,14.49,53613.0,5.36%
=$
$+
8,2024-11-26,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
8,2024-11-26,SUMMARY,CASH_BALANCE,--,--,966190.88,96.62%
8,2024-11-26,POSITION,EMPTY,0,0.0,0.0,0.00%
=$
$+
9,2024-12-05,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
9,2024-12-05,SUMMARY,CASH_BALANCE,--,--,913735.14,91.37%
9,2024-12-05,POSITION,601606,3800,13.8,52440.0,5.24%
=$
$+
10,2024-12-17,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
10,2024-12-17,SUMMARY,CASH_BALANCE,--,--,960589.63,96.06%
10,2024-12-17,POSITION,EMPTY,0,0.0,0.0,0.00%
=$
$+
11,2025-06-23,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
11,2025-06-23,SUMMARY,CASH_BALANCE,--,--,917664.76,91.77%
11,2025-06-23,POSITION,300502,400,107.28,42912.0,4.29%
=$
$+
12,2025-06-24,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
12,2025-06-24,SUMMARY,CASH_BALANCE,--,--,855085.99,85.51%
12,2025-06-24,POSITION,300502,400,107.28,42912.0,4.29%
12,2025-06-24,POSITION,300308,500,125.12,62560.0,6.26%
=$
$+
13,2025-06-26,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
13,2025-06-26,SUMMARY,CASH_BALANCE,--,--,808351.97,80.84%
13,2025-06-26,POSITION,300502,800,112.04,89632.0,8.96%
13,2025-06-26,POSITION,300308,500,125.12,62560.0,6.26%
=$
$+
14,2025-06-27,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
14,2025-06-27,SUMMARY,CASH_BALANCE,--,--,759065.19,75.91%
14,2025-06-27,POSITION,300502,1200,115.753,138904.0,13.89%
14,2025-06-27,POSITION,300308,500,125.12,62560.0,6.26%
=$
$+
15,2025-06-27,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
15,2025-06-27,SUMMARY,CASH_BALANCE,--,--,703744.6,70.37%
15,2025-06-27,POSITION,300502,1200,115.753,138904.0,13.89%
15,2025-06-27,POSITION,300308,900,130.96,117864.0,11.79%
=$
$+
16,2025-06-30,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
16,2025-06-30,SUMMARY,CASH_BALANCE,--,--,665627.17,66.56%
16,2025-06-30,POSITION,300502,1500,118.007,177010.0,17.70%
16,2025-06-30,POSITION,300308,900,130.96,117864.0,11.79%
=$
$+
17,2025-06-30,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
17,2025-06-30,SUMMARY,CASH_BALANCE,--,--,607325.68,60.73%
17,2025-06-30,POSITION,300502,1500,118.007,177010.0,17.70%
17,2025-06-30,POSITION,300308,1300,135.498,176148.0,17.61%
=$
$+
18,2025-07-15,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
18,2025-07-15,SUMMARY,CASH_BALANCE,--,--,554920.97,55.49%
18,2025-07-15,POSITION,300502,1500,118.007,177010.0,17.70%
18,2025-07-15,POSITION,300308,1600,142.836,228537.0,22.85%
=$
$+
19,2025-09-02,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
19,2025-09-02,SUMMARY,CASH_BALANCE,--,--,698086.34,69.81%
19,2025-09-02,POSITION,300502,1100,118.007,129807.33,12.98%
19,2025-09-02,POSITION,300308,1600,142.836,228537.0,22.85%
=$
$+
20,2025-09-04,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
20,2025-09-04,SUMMARY,CASH_BALANCE,--,--,1041121.69,104.11%
