code,name,main_business,revenue_structure,error
000001,,,,module 'akshare' has no attribute 'stock_profile_sina'
000002,,,,module 'akshare' has no attribute 'stock_profile_sina'
000004,,,,module 'akshare' has no attribute 'stock_profile_sina'
000006,,,,module 'akshare' has no attribute 'stock_profile_sina'
000007,,,,module 'akshare' has no attribute 'stock_profile_sina'
000008,,,,module 'akshare' has no attribute 'stock_profile_sina'
000009,,,,module 'akshare' has no attribute 'stock_profile_sina'
000010,,,,module 'akshare' has no attribute 'stock_profile_sina'
000011,,,,module 'akshare' has no attribute 'stock_profile_sina'
000012,,,,module 'akshare' has no attribute 'stock_profile_sina'
000014,,,,module 'akshare' has no attribute 'stock_profile_sina'
000016,,,,module 'akshare' has no attribute 'stock_profile_sina'
000017,,,,module 'akshare' has no attribute 'stock_profile_sina'
000019,,,,module 'akshare' has no attribute 'stock_profile_sina'
000020,,,,module 'akshare' has no attribute 'stock_profile_sina'
000021,,,,module 'akshare' has no attribute 'stock_profile_sina'
000025,,,,module 'akshare' has no attribute 'stock_profile_sina'
000026,,,,module 'akshare' has no attribute 'stock_profile_sina'
000027,,,,module 'akshare' has no attribute 'stock_profile_sina'
000028,,,,module 'akshare' has no attribute 'stock_profile_sina'
000029,,,,module 'akshare' has no attribute 'stock_profile_sina'
000030,,,,module 'akshare' has no attribute 'stock_profile_sina'
000031,,,,module 'akshare' has no attribute 'stock_profile_sina'
000032,,,,module 'akshare' has no attribute 'stock_profile_sina'
000034,,,,module 'akshare' has no attribute 'stock_profile_sina'
000035,,,,module 'akshare' has no attribute 'stock_profile_sina'
000036,,,,module 'akshare' has no attribute 'stock_profile_sina'
000037,,,,module 'akshare' has no attribute 'stock_profile_sina'
000039,,,,module 'akshare' has no attribute 'stock_profile_sina'
000042,,,,module 'akshare' has no attribute 'stock_profile_sina'
000045,,,,module 'akshare' has no attribute 'stock_profile_sina'
000048,,,,module 'akshare' has no attribute 'stock_profile_sina'
000049,,,,module 'akshare' has no attribute 'stock_profile_sina'
000050,,,,module 'akshare' has no attribute 'stock_profile_sina'
000055,,,,module 'akshare' has no attribute 'stock_profile_sina'
000056,,,,module 'akshare' has no attribute 'stock_profile_sina'
000058,,,,module 'akshare' has no attribute 'stock_profile_sina'
000059,,,,module 'akshare' has no attribute 'stock_profile_sina'
000060,,,,module 'akshare' has no attribute 'stock_profile_sina'
000061,,,,module 'akshare' has no attribute 'stock_profile_sina'
000062,,,,module 'akshare' has no attribute 'stock_profile_sina'
000063,,,,module 'akshare' has no attribute 'stock_profile_sina'
000065,,,,module 'akshare' has no attribute 'stock_profile_sina'
000066,,,,module 'akshare' has no attribute 'stock_profile_sina'
000068,,,,module 'akshare' has no attribute 'stock_profile_sina'
000069,,,,module 'akshare' has no attribute 'stock_profile_sina'
000070,,,,module 'akshare' has no attribute 'stock_profile_sina'
000078,,,,module 'akshare' has no attribute 'stock_profile_sina'
000088,,,,module 'akshare' has no attribute 'stock_profile_sina'
000089,,,,module 'akshare' has no attribute 'stock_profile_sina'
000090,,,,module 'akshare' has no attribute 'stock_profile_sina'
000096,,,,module 'akshare' has no attribute 'stock_profile_sina'
000099,,,,module 'akshare' has no attribute 'stock_profile_sina'
000100,,,,module 'akshare' has no attribute 'stock_profile_sina'
000151,,,,module 'akshare' has no attribute 'stock_profile_sina'
000153,,,,module 'akshare' has no attribute 'stock_profile_sina'
000155,,,,module 'akshare' has no attribute 'stock_profile_sina'
000156,,,,module 'akshare' has no attribute 'stock_profile_sina'
000157,,,,module 'akshare' has no attribute 'stock_profile_sina'
000158,,,,module 'akshare' has no attribute 'stock_profile_sina'
000159,,,,module 'akshare' has no attribute 'stock_profile_sina'
000166,,,,module 'akshare' has no attribute 'stock_profile_sina'
000301,,,,module 'akshare' has no attribute 'stock_profile_sina'
000333,,,,module 'akshare' has no attribute 'stock_profile_sina'
000338,,,,module 'akshare' has no attribute 'stock_profile_sina'
000400,,,,module 'akshare' has no attribute 'stock_profile_sina'
000401,,,,module 'akshare' has no attribute 'stock_profile_sina'
000402,,,,module 'akshare' has no attribute 'stock_profile_sina'
000403,,,,module 'akshare' has no attribute 'stock_profile_sina'
000404,,,,module 'akshare' has no attribute 'stock_profile_sina'
000407,,,,module 'akshare' has no attribute 'stock_profile_sina'
000408,,,,module 'akshare' has no attribute 'stock_profile_sina'
