date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-01-03,11.18,11.73,11.05,11.66,219412794.0,2971546989.0,19405546950.0,0.011306704962521038
2023-01-04,11.61,12.21,11.54,12.13,218968253.0,3110729449.0,19405546950.0,0.011283797027942055
2023-01-05,12.19,12.48,12.17,12.26,166542518.0,2417272356.0,19405546950.0,0.008582212005109188
2023-01-06,12.28,12.46,12.26,12.38,119574471.0,1747915169.0,19405546950.0,0.006161870691307672
2023-01-09,12.49,12.6,12.3,12.53,105765911.0,1561368487.0,19405546950.0,0.005450292706127513
2023-01-10,12.5,12.61,12.19,12.23,126942339.0,1851093717.0,19405546950.0,0.0065415491419580935
2023-01-11,12.24,12.52,12.19,12.42,83056612.0,1217450812.0,19405546950.0,0.004280044886856436
2023-01-12,12.51,12.51,12.3,12.42,62569484.0,914367700.0,19405546950.0,0.003224309222575146
2023-01-13,12.42,12.66,12.32,12.66,94908583.0,1407181074.0,19405546950.0,0.004890796597722282
2023-01-16,12.66,12.94,12.57,12.77,156003989.0,2356399993.0,19405546950.0,0.008039144137599276
2023-01-17,12.81,12.85,12.51,12.68,93583454.0,1396151515.0,19405546950.0,0.00482251050388456
2023-01-18,12.66,12.85,12.63,12.79,71843403.0,1083362998.0,19405546950.0,0.003702209640630614
2023-01-19,12.81,12.91,12.59,12.78,64187520.0,963744633.0,19405546950.0,0.0033076892996308977
2023-01-20,12.84,12.9,12.7,12.81,60859008.0,920144806.0,19405546950.0,0.003136165559095463
2023-01-30,13.21,13.33,12.61,12.83,137431750.0,2096867649.0,19405546950.0,0.00708208587751246
2023-01-31,12.9,13.13,12.67,12.69,103049784.0,1568639326.0,19405546950.0,0.005310326179700902
2023-02-01,12.73,12.77,12.29,12.45,165342148.0,2426471973.0,19405546950.0,0.008520354949335762
2023-02-02,12.48,12.52,12.08,12.36,157790039.0,2280744883.0,19405546950.0,0.008131182254566651
2023-02-03,12.24,12.32,11.99,12.13,124638298.0,1782105891.0,19405546950.0,0.006422818090164678
2023-02-06,11.94,11.96,11.74,11.85,131761010.0,1838428709.0,19405546950.0,0.006789863245776745
2023-02-07,11.91,12.13,11.88,12.03,86946046.0,1235297763.0,19405546950.0,0.004480473867808194
2023-02-08,12.06,12.13,11.88,11.89,65789257.0,928708934.0,19405546950.0,0.0033902294622002397
2023-02-09,11.86,12.11,11.82,11.96,83035002.0,1174361963.0,19405546950.0,0.004278931287736778
2023-02-10,11.94,11.96,11.74,11.84,84728366.0,1184283386.0,19405546950.0,0.0043661931414924636
2023-02-13,11.8,11.8,11.52,11.7,180005416.0,2473405203.0,19405546950.0,0.009275977454477263
2023-02-14,11.73,11.84,11.69,11.82,90993709.0,1263892078.0,19405546950.0,0.004689056651402449
2023-02-15,11.81,11.82,11.53,11.58,125024398.0,1713566673.0,19405546950.0,0.006442714463144776
2023-02-16,11.58,11.78,11.43,11.52,127912329.0,1757431084.0,19405546950.0,0.006591534334465125
2023-02-17,11.54,11.62,11.37,11.37,91836369.0,1246777397.0,19405546950.0,0.004732480317953625
2023-02-20,11.43,11.98,11.42,11.98,211619117.0,2945969773.0,19405546950.0,0.010905083868300863
2023-02-21,11.91,12.02,11.79,11.94,99049499.0,1393153377.0,19405546950.0,0.0051041848629780565
2023-02-22,11.85,11.96,11.8,11.87,63892239.0,895742534.0,19405546950.0,0.003292472980257843
2023-02-23,11.85,12.13,11.84,11.9,82449068.0,1165539851.0,19405546950.0,0.004248737137501811
2023-02-24,11.87,11.88,11.69,11.74,72998904.0,1012652972.0,19405546950.0,0.0037617545224614244
2023-02-27,11.64,11.75,11.58,11.59,62146193.0,854854041.0,19405546950.0,0.0032024963357191022
2023-02-28,11.64,11.73,11.52,11.67,60793592.0,833316018.0,19405546950.0,0.0031327945641851647
2023-03-01,11.69,12.02,11.63,12.0,122345178.0,1719710647.0,19405546950.0,0.006304649815603368
2023-03-02,11.96,12.23,11.91,12.06,101587684.0,1447565980.0,19405546950.0,0.005234981743196886
2023-03-03,12.15,12.17,11.97,12.1,69095439.0,985552121.0,19405546950.0,0.0035606025008225804
2023-03-06,12.11,12.11,11.62,11.73,145582414.0,2023954547.0,19405546950.0,0.007502103103566478
2023-03-07,11.73,11.94,11.56,11.59,127926629.0,1773654737.0,19405546950.0,0.006592271237168093
2023-03-08,11.54,11.55,11.35,11.46,109689791.0,1479838980.0,19405546950.0,0.005652496746555242
2023-03-09,11.47,11.5,11.12,11.18,173606476.0,2305765842.0,19405546950.0,0.008946229469713554
2023-03-10,11.01,11.24,11.01,11.13,85699610.0,1128558360.0,19405546950.0,0.004416242954698064
2023-03-13,11.11,11.25,11.01,11.05,100063496.0,1309490079.0,19405546950.0,0.005156437809138896
2023-03-14,11.0,11.01,10.78,10.9,114907558.0,1474124199.0,19405546950.0,0.005921376928775512
2023-03-15,11.05,11.16,10.96,11.05,97936372.0,1278262225.0,19405546950.0,0.005046823583604275
2023-03-16,10.91,11.03,10.84,10.86,91679249.0,1182054434.0,19405546950.0,0.004724383663919351
2023-03-17,11.0,11.04,10.71,10.8,155681414.0,2000832408.0,19405546950.0,0.008022521313165049
2023-03-20,10.8,10.88,10.63,10.64,118881633.0,1505893659.0,19405546950.0,0.006126167600753969
2023-03-21,10.71,10.82,10.58,10.75,84074317.0,1060914056.0,19405546950.0,0.004332488912403471
2023-03-22,10.8,10.91,10.76,10.83,87669077.0,1121080753.0,19405546950.0,0.004517732853698308
2023-03-23,10.75,10.92,10.69,10.92,80430604.0,1029380497.0,19405546950.0,0.004144722341876584
2023-03-24,10.88,10.89,10.8,10.86,62151875.0,796319542.0,19405546950.0,0.0032027891385973018
2023-03-27,10.84,10.85,10.55,10.67,100842214.0,1266945056.0,19405546950.0,0.005196566438443004
2023-03-28,10.72,10.78,10.63,10.7,67386843.0,851797869.0,19405546950.0,0.003472555716859091
2023-03-29,10.78,10.79,10.58,10.61,59606433.0,750687551.0,19405546950.0,0.0030716182931396323
2023-03-30,10.63,10.76,10.51,10.74,82454624.0,1035422932.0,19405546950.0,0.004249023447391159
2023-03-31,10.75,10.81,10.59,10.61,86549166.0,1092263437.0,19405546950.0,0.004460021983559706
2023-04-03,10.63,10.75,10.55,10.73,74042886.0,934285179.0,19405546950.0,0.0038155526453739043
2023-04-04,10.7,10.77,10.66,10.71,64745722.0,817726527.0,19405546950.0,0.0033364543739386847
2023-04-06,10.67,10.68,10.58,10.65,56332130.0,706480660.0,19405546950.0,0.0029028880322283313
2023-04-07,10.64,10.75,10.58,10.69,60792526.0,767354797.0,19405546950.0,0.0031327396314382162
2023-04-10,10.7,10.75,10.65,10.74,64018181.0,809943148.0,19405546950.0,0.0032989629802730193
2023-04-11,10.75,10.77,10.6,10.62,77777962.0,978302908.0,19405546950.0,0.004008027302729543
